Bank Transaction ID,Transaction Date,Posted Date,Description,Amount (USD),Currency,Bank Account
BF-202605-0108,2026-05-01,2026-05-01,ACH PARKSIDE COMMERCIAL MGMT RENT MAY,-8200.0,USD,Operating Checking
BF-202605-0066,2026-05-02,2026-05-02,MOBILE DEPOSIT GREENLINE FITNESS JOB 5200,1950.0,USD,Operating Checking
BF-202605-0079,2026-05-03,2026-05-04,CHECK DEP NORTHSTAR DENTAL GROUP SERVICE 5213,2925.0,USD,Operating Checking
BF-202605-0093,2026-05-03,2026-05-04,LOWES.COM REF 501,-2200.0,USD,Operating Checking
BF-202605-0067,2026-05-04,2026-05-05,CHECK DEP OAK & STONE REALTY SERVICE 5201,2925.0,USD,Operating Checking
BF-202605-0084,2026-05-04,2026-05-05,CHECK DEPOSIT SUMMIT LEARNING CENTER PROJECT 5500,8950.0,USD,Operating Checking
BF-202605-0080,2026-05-05,2026-05-05,ZELLE FROM HARBORVIEW APARTMENTS REPAIR 5214,2875.0,USD,Operating Checking
BF-202605-0090,2026-05-05,2026-05-05,ACH CREDIT EASTSIDE COMMUNITY CENTER MAINT PLAN MAY,900.0,USD,Operating Checking
BF-202605-0068,2026-05-06,2026-05-06,ZELLE FROM RIVERSIDE PEDIATRICS REPAIR 5202,1525.0,USD,Operating Checking
BF-202605-0094,2026-05-06,2026-05-07,FERGUSON.COM REF 502,-1450.0,USD,Operating Checking
BF-202605-0109,2026-05-06,2026-05-07,SHELL OIL 574221,-520.0,USD,Operating Checking
BF-202605-0081,2026-05-07,2026-05-08,ACH CREDIT GREENLINE FITNESS INV 5115,2525.0,USD,Operating Checking
BF-202605-0101,2026-05-07,2026-05-08,RIVERA PLBG CO MAY-01,-1850.0,USD,Operating Checking
BF-202605-0069,2026-05-08,2026-05-09,ACH CREDIT SUMMIT LEARNING CENTER INV 5103,1475.0,USD,Operating Checking
BF-202605-0085,2026-05-08,2026-05-08,WIRE METRO SELF STORAGE EQUIPMENT INSTALL 5501,10800.0,USD,Operating Checking
BF-202605-0113,2026-05-08,2026-05-08,INTUIT *QUICKBOOKS ONLINE,-150.0,USD,Operating Checking
BF-202605-0082,2026-05-09,2026-05-09,MOBILE DEPOSIT OAK & STONE REALTY JOB 5216,2300.0,USD,Operating Checking
BF-202605-0095,2026-05-09,2026-05-10,WW GRAINGER 877-202-2594 REF 503,-3875.0,USD,Operating Checking
BF-202605-0118,2026-05-09,2026-05-09,HISCOX BUSINESS INSURANCE MAY,-1225.0,USD,Operating Checking
BF-202605-0070,2026-05-10,2026-05-10,MOBILE DEPOSIT METRO SELF STORAGE JOB 5204,3200.0,USD,Operating Checking
BF-202605-0126,2026-05-10,2026-05-10,ONLINE TRANSFER TO TAX RESERVE TAX RESERVE TRANSFER MAY-1,-6000.0,USD,Operating Checking
BF-202605-0083,2026-05-11,2026-05-12,CHECK DEP RIVERSIDE PEDIATRICS SERVICE 5217,3200.0,USD,Operating Checking
BF-202605-0116,2026-05-11,2026-05-12,GOOGLE ADS 5412,-1950.0,USD,Operating Checking
BF-202605-0071,2026-05-12,2026-05-13,CHECK DEP PARKVIEW SENIOR LIVING SERVICE 5205,3150.0,USD,Operating Checking
BF-202605-0086,2026-05-12,2026-05-13,ACH CREDIT PARKVIEW SENIOR LIVING INSTALL 5502,10800.0,USD,Operating Checking
BF-202605-0096,2026-05-12,2026-05-13,SUPPLYHOUSE.COM REF 504,-2200.0,USD,Operating Checking
BF-202605-0102,2026-05-12,2026-05-13,ACH NORTHLINE HVAC MAY-02,-3600.0,USD,Operating Checking
BF-202605-0110,2026-05-12,2026-05-13,BP#98231 NEW YORK,-285.0,USD,Operating Checking
BF-202605-0119,2026-05-12,2026-05-13,CON EDISON AUTOPAY,-825.0,USD,Operating Checking
BF-202605-0072,2026-05-14,2026-05-14,ZELLE FROM CEDAR GROVE MARKET REPAIR 5206,2475.0,USD,Operating Checking
BF-202605-0091,2026-05-14,2026-05-14,AUTO PAY BEACON OFFICE SUITES SERVICE PLAN MAY,1250.0,USD,Operating Checking
BF-202605-0097,2026-05-15,2026-05-16,CES #NYC-14 REF 505,-1125.0,USD,Operating Checking
BF-202605-0106,2026-05-15,2026-05-15,ADP PAYROLL MAY FIRST HALF,-13100.0,USD,Operating Checking
BF-202605-0114,2026-05-15,2026-05-15,GOOGLE WORKSPACE BRIGHTFIX,-420.0,USD,Operating Checking
BF-202605-0073,2026-05-16,2026-05-17,ACH CREDIT HUDSON VETERINARY CLINIC INV 5107,2250.0,USD,Operating Checking
BF-202605-0087,2026-05-16,2026-05-16,CHECK DEPOSIT CEDAR GROVE MARKET PROJECT 5503,10800.0,USD,Operating Checking
BF-202605-0103,2026-05-17,2026-05-18,PRECISION INSTALL SVCS MAY-03,-3600.0,USD,Operating Checking
BF-202605-0130,2026-05-17,2026-05-18,MILWAUKEE COMMERCIAL TOOL PACKAGE,-6800.0,USD,Operating Checking
BF-202605-0074,2026-05-18,2026-05-18,MOBILE DEPOSIT EASTSIDE COMMUNITY CENTER JOB 5208,3200.0,USD,Operating Checking
BF-202605-0098,2026-05-18,2026-05-19,ABC PLUMBING SUPPLY REF 506,-3150.0,USD,Operating Checking
BF-202605-0111,2026-05-18,2026-05-19,EXXONMOBIL 48122,-285.0,USD,Operating Checking
BF-202605-0121,2026-05-18,2026-05-19,ACH CLEARLEDGER CPA MONTHLY MAY,-1650.0,USD,Operating Checking
BF-202605-0075,2026-05-20,2026-05-21,CHECK DEP BEACON OFFICE SUITES SERVICE 5209,1725.0,USD,Operating Checking
BF-202605-0088,2026-05-20,2026-05-21,WIRE HUDSON VETERINARY CLINIC EQUIPMENT INSTALL 5504,6500.0,USD,Operating Checking
BF-202605-0123,2026-05-20,2026-05-21,STAPLES 001422 OFFICE SUPPLIES,-310.0,USD,Operating Checking
BF-202605-0099,2026-05-21,2026-05-22,HOMEDEPOT.COM 800-430-3376 REF 507,-875.0,USD,Operating Checking
BF-202605-0117,2026-05-21,2026-05-22,YELP ADVERTISING,-1000.0,USD,Operating Checking
BF-202605-0076,2026-05-22,2026-05-22,ZELLE FROM LIBERTY DAY SCHOOL REPAIR 5210,2300.0,USD,Operating Checking
BF-202605-0104,2026-05-22,2026-05-23,ACH METRO HANDYMAN MAY-04,-1850.0,USD,Operating Checking
BF-202605-0115,2026-05-22,2026-05-22,SERVICETITAN SUBSCRIPTION,-875.0,USD,Operating Checking
BF-202605-0120,2026-05-22,2026-05-23,VERIZON BUSINESS AUTOPAY,-390.0,USD,Operating Checking
BF-202605-0092,2026-05-23,2026-05-23,ACH CREDIT LIBERTY DAY SCHOOL MAINT PLAN MAY,1500.0,USD,Operating Checking
BF-202605-0124,2026-05-23,2026-05-24,FLEET AUTO CARE SERVICE VAN 2,-915.0,USD,Operating Checking
