Bank Transaction ID,Transaction Date,Posted Date,Description,Amount (USD),Currency,Bank Account
BF-202604-0043,2026-04-01,2026-04-01,ACH PARKSIDE COMMERCIAL MGMT RENT APR,-8200.0,USD,Operating Checking
BF-202604-0001,2026-04-02,2026-04-02,ACH CREDIT BLUEBIRD PROPERTY MANAGEMENT INV 4100,3425.0,USD,Operating Checking
BF-202604-0065,2026-04-02,2026-04-02,WIRE FROM MAYA PATEL OWNER CAPITAL,25000.0,USD,Operating Checking
BF-202604-0014,2026-04-03,2026-04-04,MOBILE DEPOSIT LIBERTY DAY SCHOOL JOB 4213,3150.0,USD,Operating Checking
BF-202604-0028,2026-04-03,2026-04-04,THE HOME DEPOT #1212 REF 401,-875.0,USD,Operating Checking
BF-202604-0002,2026-04-04,2026-04-05,MOBILE DEPOSIT NORTHSTAR DENTAL GROUP JOB 4201,3225.0,USD,Operating Checking
BF-202604-0019,2026-04-04,2026-04-05,ACH CREDIT GREENLINE FITNESS INSTALL 4500,8950.0,USD,Operating Checking
BF-202604-0015,2026-04-05,2026-04-05,CHECK DEP WEST END PHARMACY SERVICE 4214,1725.0,USD,Operating Checking
BF-202604-0025,2026-04-05,2026-04-05,ACH CREDIT METRO SELF STORAGE MAINT PLAN APR,900.0,USD,Operating Checking
BF-202604-0003,2026-04-06,2026-04-06,CHECK DEP HARBORVIEW APARTMENTS SERVICE 4202,2000.0,USD,Operating Checking
BF-202604-0029,2026-04-06,2026-04-07,LOWES.COM REF 402,-2200.0,USD,Operating Checking
BF-202604-0044,2026-04-06,2026-04-07,SHELL OIL 574221,-285.0,USD,Operating Checking
BF-202604-0016,2026-04-07,2026-04-08,ZELLE FROM BLUEBIRD PROPERTY MANAGEMENT REPAIR 4215,3150.0,USD,Operating Checking
BF-202604-0036,2026-04-07,2026-04-08,ACH APEX ELECTRICAL APR-01,-1850.0,USD,Operating Checking
BF-202604-0004,2026-04-08,2026-04-09,ZELLE FROM GREENLINE FITNESS REPAIR 4203,2300.0,USD,Operating Checking
BF-202604-0020,2026-04-08,2026-04-08,CHECK DEPOSIT OAK & STONE REALTY PROJECT 4501,9750.0,USD,Operating Checking
BF-202604-0048,2026-04-08,2026-04-08,INTUIT *QUICKBOOKS ONLINE,-150.0,USD,Operating Checking
BF-202604-0017,2026-04-09,2026-04-09,ACH CREDIT NORTHSTAR DENTAL GROUP INV 4116,1725.0,USD,Operating Checking
BF-202604-0030,2026-04-09,2026-04-10,FERGUSON.COM REF 403,-3150.0,USD,Operating Checking
BF-202604-0053,2026-04-09,2026-04-09,HISCOX BUSINESS INSURANCE APR,-1225.0,USD,Operating Checking
BF-202604-0005,2026-04-10,2026-04-10,ACH CREDIT OAK & STONE REALTY INV 4104,1475.0,USD,Operating Checking
BF-202604-0061,2026-04-10,2026-04-10,ONLINE TRANSFER TO TAX RESERVE TAX RESERVE TRANSFER APR-1,-5000.0,USD,Operating Checking
BF-202604-0018,2026-04-11,2026-04-12,MOBILE DEPOSIT HARBORVIEW APARTMENTS JOB 4217,2300.0,USD,Operating Checking
BF-202604-0051,2026-04-11,2026-04-12,GOOGLE ADS 5412,-1850.0,USD,Operating Checking
BF-202604-0006,2026-04-12,2026-04-13,MOBILE DEPOSIT RIVERSIDE PEDIATRICS JOB 4205,2900.0,USD,Operating Checking
BF-202604-0021,2026-04-12,2026-04-13,WIRE RIVERSIDE PEDIATRICS EQUIPMENT INSTALL 4502,10800.0,USD,Operating Checking
BF-202604-0031,2026-04-12,2026-04-13,WW GRAINGER 877-202-2594 REF 404,-2675.0,USD,Operating Checking
BF-202604-0037,2026-04-12,2026-04-13,RIVERA PLBG CO APR-02,-5100.0,USD,Operating Checking
